Date,Ask,Bid,Mid,Spread,without prompt,with prompt
2023-01-04 16:59:00,6.9022,6.8968,6.8995,0.0027,0,0
2023-01-04 16:58:00,6.9013,6.8975,6.8994,0.0019,0,0
2023-01-04 16:57:00,6.9016,6.8995,6.90055,0.00105,0,0
2023-01-04 16:56:00,6.9019,6.8998,6.90085,0.00105,0,0
2023-01-04 16:55:00,6.9018,6.8998,6.9008,0.001,0,0
2023-01-04 16:54:00,6.9019,6.8998,6.90085,0.00105,0,0
2023-01-04 16:53:00,6.9019,6.9,6.90095,0.00095,0,0
2023-01-04 16:52:00,6.9018,6.8999,6.90085,0.00095,0,0
2023-01-04 16:51:00,6.9019,6.8999,6.9009,0.001,0,0
2023-01-04 16:50:00,6.9019,6.9,6.90095,0.00095,0,0
2023-01-04 16:49:00,6.9018,6.8999,6.90085,0.00095,0,0
2023-01-04 16:48:00,6.9019,6.9,6.90095,0.00095,0,0
2023-01-04 16:47:00,6.9019,6.9,6.90095,0.00095,0,0
2023-01-04 16:46:00,6.9022,6.9002,6.9012,0.001,0,0
2023-01-04 16:45:00,6.9022,6.9001,6.90115,0.00105,0,0
2023-01-04 16:44:00,6.9022,6.9002,6.9012,0.001,0,0
2023-01-04 16:43:00,6.9022,6.9002,6.9012,0.001,0,0
2023-01-04 16:42:00,6.9023,6.9003,6.9013,0.001,0,0
2023-01-04 16:41:00,6.9024,6.9003,6.90135,0.00105,0,0
2023-01-04 16:40:00,6.9023,6.9004,6.90135,0.00095,0,0
2023-01-04 16:39:00,6.9021,6.9003,6.9012,0.0009,0,0
2023-01-04 16:38:00,6.9021,6.9002,6.90115,0.00095,0,0
2023-01-04 16:37:00,6.9021,6.9003,6.9012,0.0009,0,0
2023-01-04 16:36:00,6.9021,6.9002,6.90115,0.00095,0,0
2023-01-04 16:35:00,6.9021,6.8999,6.901,0.0011,0,0
2023-01-04 16:34:00,6.902,6.9001,6.90105,0.00095,0,0
2023-01-04 16:33:00,6.9021,6.9,6.90105,0.00105,0,0
2023-01-04 16:32:00,6.9021,6.9003,6.9012,0.0009,0,0
2023-01-04 16:31:00,6.9024,6.9003,6.90135,0.00105,0,0
2023-01-04 16:30:00,6.9026,6.9004,6.9015,0.0011,0,0
2023-01-04 16:29:00,6.9027,6.901,6.90185,0.00085,0,0
2023-01-04 16:28:00,6.9028,6.901,6.9019,0.0009,0,0
2023-01-04 16:27:00,6.9028,6.901,6.9019,0.0009,0,0
2023-01-04 16:26:00,6.9023,6.9004,6.90135,0.00095,0,0
2023-01-04 16:25:00,6.9022,6.9004,6.9013,0.0009,0,0
2023-01-04 16:24:00,6.9021,6.9004,6.90125,0.00085,0,0
2023-01-04 16:23:00,6.9013,6.8998,6.90055,0.00075,0,0
2023-01-04 16:22:00,6.9012,6.8997,6.90045,0.00075,0,0
2023-01-04 16:21:00,6.9013,6.8997,6.9005,0.0008,0,0
2023-01-04 16:20:00,6.9013,6.8998,6.90055,0.00075,0,0
2023-01-04 16:19:00,6.9013,6.8997,6.9005,0.0008,0,0
2023-01-04 16:18:00,6.9021,6.9006,6.90135,0.00075,0,0
2023-01-04 16:17:00,6.9021,6.9006,6.90135,0.00075,0,0
2023-01-04 16:16:00,6.902,6.9006,6.9013,0.0007,0,0
2023-01-04 16:15:00,6.9021,6.9006,6.90135,0.00075,0,0
2023-01-04 16:14:00,6.9021,6.9007,6.9014,0.0007,0,0
2023-01-04 16:13:00,6.902,6.9006,6.9013,0.0007,0,0
2023-01-04 16:12:00,6.902,6.9006,6.9013,0.0007,0,0
2023-01-04 16:11:00,6.9021,6.9006,6.90135,0.00075,0,0
2023-01-04 16:10:00,6.902,6.9006,6.9013,0.0007,0,0
2023-01-04 16:09:00,6.9021,6.9007,6.9014,0.0007,0,0
2023-01-04 16:08:00,6.9021,6.9007,6.9014,0.0007,0,0
2023-01-04 16:07:00,6.9021,6.9007,6.9014,0.0007,0,0
2023-01-04 16:06:00,6.9025,6.9011,6.9018,0.0007,0,0
2023-01-04 16:05:00,6.9026,6.9012,6.9019,0.0007,0,0
2023-01-04 16:04:00,6.9023,6.901,6.90165,0.00065,0,0
2023-01-04 16:03:00,6.9024,6.9011,6.90175,0.00065,0,0
2023-01-04 16:02:00,6.9023,6.9011,6.9017,0.0006,0,0
2023-01-04 16:01:00,6.9026,6.9014,6.902,0.0006,0,0
2023-01-04 16:00:00,6.9026,6.9013,6.90195,0.00065,0,0
2023-01-04 15:59:00,6.9026,6.9013,6.90195,0.00065,0,0
2023-01-04 15:58:00,6.9025,6.9014,6.90195,0.00055,0,0
2023-01-04 15:57:00,6.9023,6.9011,6.9017,0.0006,0,0
2023-01-04 15:56:00,6.9024,6.9011,6.90175,0.00065,0,0
2023-01-04 15:55:00,6.9025,6.9013,6.9019,0.0006,0,0
2023-01-04 15:54:00,6.9036,6.9024,6.903,0.0006,0,0
2023-01-04 15:53:00,6.904,6.9028,6.9034,0.0006,0,0
2023-01-04 15:52:00,6.9039,6.9028,6.90335,0.00055,0,0
2023-01-04 15:51:00,6.9039,6.9027,6.9033,0.0006,0,0
2023-01-04 15:50:00,6.9039,6.9027,6.9033,0.0006,0,0
2023-01-04 15:49:00,6.9041,6.9029,6.9035,0.0006,0,0
2023-01-04 15:48:00,6.9041,6.9029,6.9035,0.0006,0,0
2023-01-04 15:47:00,6.9043,6.9031,6.9037,0.0006,0,0
2023-01-04 15:46:00,6.9043,6.903,6.90365,0.00065,0,0
2023-01-04 15:45:00,6.9043,6.9031,6.9037,0.0006,0,0
2023-01-04 15:44:00,6.9045,6.9033,6.9039,0.0006,0,0
2023-01-04 15:43:00,6.9044,6.9031,6.90375,0.00065,0,0
2023-01-04 15:42:00,6.9039,6.9026,6.90325,0.00065,0,0
2023-01-04 15:41:00,6.9028,6.9016,6.9022,0.0006,0,0
2023-01-04 15:40:00,6.9028,6.9017,6.90225,0.00055,0,0
2023-01-04 15:39:00,6.9028,6.9016,6.9022,0.0006,0,0
2023-01-04 15:38:00,6.9027,6.9015,6.9021,0.0006,0,0
2023-01-04 15:37:00,6.9027,6.9015,6.9021,0.0006,0,0
2023-01-04 15:36:00,6.9029,6.9019,6.9024,0.0005,0,0
2023-01-04 15:35:00,6.9031,6.902,6.90255,0.00055,0,0
2023-01-04 15:34:00,6.9021,6.9011,6.9016,0.0005,0,0
2023-01-04 15:33:00,6.9022,6.9011,6.90165,0.00055,0,0
2023-01-04 15:32:00,6.902,6.901,6.9015,0.0005,0,0
2023-01-04 15:31:00,6.9021,6.9011,6.9016,0.0005,0,0
2023-01-04 15:30:00,6.9021,6.9011,6.9016,0.0005,0,0
2023-01-04 15:29:00,6.9018,6.9008,6.9013,0.0005,0,0
2023-01-04 15:28:00,6.9016,6.9006,6.9011,0.0005,0,0
2023-01-04 15:27:00,6.9015,6.9005,6.901,0.0005,0,0
2023-01-04 15:26:00,6.9015,6.9005,6.901,0.0005,0,0
